url,Average Relevance,Type of Blog,Memo
https://hackernoon.com/connecting-rabbitmq-with-node-js-05953yh3,3,Community blog,Same as above
https://hackernoon.com/introduction-to-message-brokers-part-1-apache-kafka-vs-rabbitmq-8fd67bf68566,4.15,Community blog,Same as above
https://hackernoon.com/introduction-to-message-brokers-part-2-activemq-vs-redis-pub-sub-dd9e173e27a5,4,Community blog,Same as above
https://hackernoon.com/scraping-yahoo-finance-data-using-python-ayu3zyl,3,Community blog,Same as above
https://heartbeat.fritz.ai/building-a-conversational-chatbot-with-nltk-and-tensorflow-part-1-f452ce1756e5,2,Community blog,Website company Medium provides Community blogs.
https://hub.packtpub.com/common-big-data-design-patterns/,4,Community blog,"About us states ""Technology news, analysis, and tutorials from Packt."""
https://hub.packtpub.com/creating-a-simple-modular-application-in-java-11-tutorial/,3,Community blog,Same as above
https://hub.packtpub.com/what-apache-camel/,4,Community blog,Same as above
https://itnext.io/can-json-parse-be-performance-improvement-ba1069951839,2.5,Community blog,Website company Medium provides Community blog.
https://itnext.io/kafka-vs-rabbitmq-f5abc02e3912,4,Community blog,Website company Medium provides Community blog.
https://javarevisited.blogspot.com/2015/03/parsing-large-json-files-using-jackson.html,4,Community blog,"Description of site below title is ""Blog about Java, Programming, Spring, Hibernate, Interview Questions, Books and Online Course Recommendations from Udemy, Pluralsight, Coursera, etc"""
https://javarevisited.blogspot.com/2016/09/top-5-json-library-in-java-JEE.html,3.571428571,Community blog,Same as above
https://jaxenter.com/introduction-microservices-java-136067.html ,2.5,Community blog,No about page. Menu topics cover a wide range of tech related topics. Many authors. 
https://jaxenter.com/streamline-software-integration-an-apache-camel-tutorial-140621.html,4,Community blog,Same as above
https://levelup.gitconnected.com/restful-api-patterns-81930c43e494,4,Community blog,Website company Medium provides Community blogs.
https://levelup.gitconnected.com/synchronous-vs-asynchronous-by-example-36b7b87711e7,4.5,Community blog,Website company Medium provides Community blogs.
https://lwn.net/Articles/707510/,1.5,Community blog,"Click logo page states ""LWN.net is a reader-supported news site dedicated to producing the best coverage from within the Linux and free software development communities."""
https://medium.com/@aiven_io/nowadays-everyone-is-talking-about-building-data-platforms-or-data-pipelines-to-answer-specific-fc2f048b1154,3,Community blog,Website company Medium provides personal blogs.
https://medium.com/@Alibaba_Cloud/low-latency-distributed-messaging-with-rocketmq-part-1-9c219c7d4c83,3,Community blog,Website company Medium provides personal blogs.
https://medium.com/@alinvelican_49750/go-vs-java-json-serialization-and-deserialization-feeb18803525,2,Community blog,Website company Medium provides personal blogs.
https://medium.com/@anirbanroydas/rabbitchat-chat-server-using-tornado-sockjs-rabbitmq-also-talking-about-tcp-sockets-914a79bbcd2f,4,Community blog,Website company Medium provides personal blogs.
https://medium.com/@dannydamsky99/heres-why-you-probably-shouldn-t-be-using-the-gson-library-in-2018-4bed5698b78b,4,Community blog,Website company Medium provides personal blogs.
https://medium.com/@diogo.lucas/communication-patterns-in-a-microservice-world-af07192b12d3,3,Community blog,Website company Medium provides personal blogs.
https://medium.com/@ghogare.dhananjay/rabbit-mq-vs-active-mq-cbfec9ec359f,4,Community blog,Website company Medium provides personal blogs.
https://medium.com/@ideas.into.software/using-camel-and-rabbitmq-in-an-osgi-r7-application-including-custom-message-types-b314a142fc9c,2.428571429,Community blog,Website company Medium provides personal blogs.
https://medium.com/@jjsham/building-stock-price-dashboard-with-plotly-dash-part-i-b165b3edfdd6,4.5,Community blog,Website company Medium provides personal blogs.
https://medium.com/@joetilley/i-am-using-dialogflow-as-my-nlp-engine-for-my-chatbot-c9f707f2f72d,2.5,Community blog,Website company Medium provides personal blogs.
https://medium.com/@k.wahome/maximizing-microservices-architecture-part-2-principles-5b8004b0ed09,3.5,Community blog,Website company Medium provides personal blogs.
https://medium.com/@kmdkhadeer/microservices-best-practices-5fe3e28394b3,3,Community blog,Website company Medium provides personal blogs.
https://medium.com/@krishankantsinghal/messaging-queue-d6dcd6995775,2,Community blog,Website company Medium provides personal blogs.
https://medium.com/@madhukaudantha/microservice-architecture-and-design-patterns-for-microservices-e0e5013fd58a,3.818181818,Community blog,Website company Medium provides personal blogs.
https://medium.com/@patrick.collins_58673/stock-api-landscape-5c6e054ee631,4,Community blog,Website company Medium provides personal blogs.
https://medium.com/@philipfeng/modern-open-source-messaging-apache-kafka-rabbitmq-nats-pulsar-and-nsq-ca3bf7422db5,3.666666667,Community blog,Website company Medium provides personal blogs.
https://medium.com/@Progressly/the-4-key-advantages-of-digital-data-collection-c839a89f168d,3,Community blog,Website company Medium provides personal blogs.
https://medium.com/@rameez.s.shaikh/build-a-chat-application-using-spring-boot-websocket-rabbitmq-2b82c142f85a,5,Community blog,Website company Medium provides personal blogs.
https://medium.com/@rinu.gour123/difference-between-rabbitmq-kafka-afa7bdd79c8e,4,Community blog,Website company Medium provides personal blogs.
https://medium.com/@rinu.gour123/kafka-performance-tuning-ways-for-kafka-optimization-fdee5b19505b,2,Community blog,Website company Medium provides personal blogs.
https://medium.com/@shivsoni377/everything-you-need-to-know-about-apache-kafka-454f5ed9265f,3,Community blog,Website company Medium provides personal blogs.
https://medium.com/@spats/flume-vs-kafka-110e13f6a7e3,3.5,Community blog,Website company Medium provides personal blogs.
https://medium.com/adobetech/evaluating-streaming-frameworks-for-large-scale-event-streaming-7209938373c8,4.666666667,Community blog,Website company Medium provides personal blogs.
https://medium.com/better-programming/rabbitmq-vs-kafka-1ef22a041793,3.75,Community blog,Website company Medium provides personal blogs.
https://medium.com/design-and-tech-co/implementing-domain-driven-design-for-microservice-architecture-26eb0333d72e,4,Community blog,Website company Medium provides personal blogs.
https://medium.com/dev-genius/microservice-architecture-communication-design-patterns-70b37beec294,4,Community blog,Website company Medium provides personal blogs.
https://medium.com/dev-genius/some-detailed-differences-between-kafka-and-activemq-d40163cb2ac4,5,Community blog,Website company Medium provides personal blogs.
https://medium.com/fabcoding/laravel-redirect-users-according-to-roles-and-protect-routes-bde324fe1823,3,Community blog,Website company Medium provides personal blogs.
https://medium.com/faun/develop-an-event-driven-application-based-on-kafka-camel-k-and-a-telegram-bot-on-openshift-step-2d60c94f3f33,2,Community blog,Website company Medium provides personal blogs.
https://medium.com/faun/rabbitmq-connection-vs-channel-aed1188a7f3a,3,Community blog,Website company Medium provides personal blogs.
https://medium.com/future-vision/the-principles-of-rest-6b00deac91b3,4,Community blog,Website company Medium provides personal blogs.
https://medium.com/hackernoon/benchmarking-kafka-performance-part-1-write-throughput-7c7a76ab7db1,4,Community blog,Website company Medium provides personal blogs.
https://medium.com/hashmapinc/the-what-why-and-how-of-a-microservices-architecture-4179579423a9,4,Community blog,Website company Medium provides personal blogs.
https://medium.com/it-dead-inside/isolating-your-microservices-through-loose-coupling-48b710e28de6,4.5,Community blog,Website company Medium provides personal blogs.
https://medium.com/javarevisited/10-oop-design-principles-you-can-learn-in-2020-f7370cccdd31,4,Community blog,Website company Medium provides personal blogs.
https://medium.com/linagora-engineering/how-to-choose-a-message-queue-247dde46e66c,3,Community blog,Website company Medium provides personal blogs.
https://medium.com/oracledevs/data-consistency-among-microservices-is-it-possible-fe48938235d1,4,Community blog,Website company Medium provides personal blogs.
https://medium.com/platform-engineer/microservices-design-guide-eca0b799a7e8,4.5,Community blog,Website company Medium provides personal blogs.
https://medium.com/ryans-dev-notes/learning-rabbitmq-3f59d11f66b4,4,Community blog,Website company Medium provides personal blogs.
https://medium.com/softkit/introduction-to-message-brokers-part-2-activemq-vs-redis-pub-sub-fdaef1ca95d3,4,Community blog,Website company Medium provides personal blogs.
https://medium.com/stream-processing/what-is-stream-processing-1eadfca11b97,2.5,Community blog,Website company Medium provides personal blogs.
https://medium.com/swlh/apache-kafka-in-a-nutshell-5782b01d9ffb,5,Community blog,Website company Medium provides personal blogs.
https://medium.com/swlh/how-to-create-a-dashboard-to-dominate-the-stock-market-using-python-and-dash-c35a12108c93,3,Community blog,Website company Medium provides personal blogs.
https://medium.com/swlh/performance-comparison-between-apache-pulsar-and-kafka-latency-79fb0367f407,3,Community blog,Website company Medium provides personal blogs.
https://medium.com/swlh/the-principles-of-planning-and-implementing-microservices-3cb0eb76c172,5,Community blog,Website company Medium provides personal blogs.
https://medium.com/teamzerolabs/node-js-monitoring-with-prometheus-grafana-3056362ccb80,3,Community blog,Website company Medium provides personal blogs.
https://medium.com/the-sixt-india-blog/microservice-communication-53cbc93cf4de,3,Community blog,Website company Medium provides personal blogs.
https://medium.com/thg-tech-blog/a-feather-in-their-caps-4c4083cf9f46,2.5,Community blog,Website company Medium provides personal blogs.
https://medium.com/voice-tech-podcast/different-types-of-chatbots-rule-based-vs-nlp-3ed642d82556,4,Community blog,Website company Medium provides personal blogs.
https://medium.com/webstep/apache-kafka-in-a-nutshell-66fffd264de3,3.5,Community blog,Website company Medium provides personal blogs.
https://medium.com/world-of-iot/93-understanding-the-basics-of-any-iot-data-pipeline-from-ingress-capture-to-processing-to-7538a5632478,2,Community blog,Website company Medium provides personal blogs.
https://medium.engineering/microservice-architecture-at-medium-9c33805eb74f,3.5,Community blog,Website company Medium provides personal blogs.
https://morioh.com/p/4d79069e1cc5,4,Community blog,multiple authors. no about page.
https://ngkester123.medium.com/design-patterns-for-microservices-9340b72407bb,4,Community blog,Website company Medium provides personal blogs.
https://noise.getoto.net/tag/message-queues/,4.5,Community blog,"""About"" page describes it as a ""personal agregator"", a ""collection"" of ""news"" and ""texts""."
https://opensource.com/article/18/4/guide-design-microservices,2.5,Community blog,"Multiple authors and topics. ""Supported"" but not run by a technology vendor. "
https://opensource.com/article/18/9/open-source-log-aggregation-tools,3,Community blog,Same as above
https://opensource.com/article/20/2/real-time-data-processing,2.75,Community blog,Same as above
https://opensource.com/business/16/11/open-source-dashboard-tools-visualizing-data,3,Community blog,Same as above
https://pediaa.com/what-is-the-difference-between-activemq-and-rabbitmq/,3.5,Community blog,"Multiple topics, not all related to technology. eg. food articles. "
https://polestarsolutions.medium.com/top-7-open-source-big-data-tools-in-2020-fb531e8dc41f,2,Community blog,Website company Medium provides community blogs.
https://priyalwalpita.medium.com/coupling-and-cohesion-in-microservices-235ed9203843,3.666666667,Community blog,Website company Medium provides community blogs.
https://programmer.help/blogs/performance-comparison-of-several-common-json-libraries-in-java.html,4.066666667,Community blog,Multiple authors. No about page.
https://reflectoring.io/microservice-communication-patterns/,3.75,Community blog,Mutiple authors and topics. 
https://solutionsreview.com/data-integration/2020-crn-big-data-100-data-integration-companies-to-consider/,3,Community blog,"Multiple authors. ""Solutions Review brings all of the technology news, opinion, best practices and industry events together in one place. "" No prices mentioned."
https://solutionsreview.com/data-integration/28-best-data-integration-software-tools/,3.5,Community blog,Same as above
https://solutionsreview.com/data-integration/etl-vs-elt-and-the-benefits-of-data-transformation-in-the-cloud/,4,Community blog,Same as above
https://solutionsreview.com/data-integration/top-free-and-open-source-etl-tools-for-data-integration/,2.8,Community blog,Same as above
https://stackoverflow.blog/2020/03/02/best-practices-for-rest-api-design/,4,Community blog,"Title says ""Essays, opinions, and advice on the act of computer programming from Stack Overflow."" Multiple authors"
https://tech.ticketmaster.com/2014/12/01/getting-over-the-performance-hump-with-apache-camel/,3,Community blog,Multiple authors and topics. 
https://techbeacon.com/app-dev-testing/5-fundamentals-successful-microservice-design,3,Community blog,"Mutliple authors and topics. ""About"" page states ""A Micro Focus publication for App Dev & Testing, DevOps, Enterprise IT and Security where experts share practical knowledge."""
https://techbeacon.com/app-dev-testing/what-apache-kafka-why-it-so-popular-should-you-use-it,3.166666667,Community blog,Same as above
https://thenewstack.io/apache-streaming-projects-exploratory-guide/,3.5,Community blog,Multiple authors and topics. 
https://thenewstack.io/kafka-alternative-pulsar-unifies-streaming-and-queuing/,3,Community blog,Same as above
https://titanwolf.org/Network/Articles/Article?AID=ee73a300-eb47-4361-a5a8-dd5e207b580f,4,Community blog,No about page. multiple authors. multiple topics.
https://towardsdatascience.com/10-common-software-architectural-patterns-in-a-nutshell-a0b47a1e9013,3,Community blog,Website company Medium provides community blogs.
https://towardsdatascience.com/10-key-technologies-that-enable-big-data-analytics-for-businesses-d82703891e2f,2,Community blog,Website company Medium provides community blogs.
https://towardsdatascience.com/5-reasons-why-your-chatbot-needs-natural-language-processing-ed20fb0a3655,3,Community blog,Website company Medium provides community blogs.
https://towardsdatascience.com/8-open-source-big-data-tools-to-use-in-2018-e35cab47ca1d,2,Community blog,Website company Medium provides community blogs.
https://towardsdatascience.com/a-brief-introduction-to-two-data-processing-architectures-lambda-and-kappa-for-big-data-4f35c28005bb,3,Community blog,Website company Medium provides community blogs.
https://towardsdatascience.com/an-introduction-to-stream-processing-with-apache-flink-b4acfa58f14d,4,Community blog,Website company Medium provides community blogs.
https://towardsdatascience.com/best-5-free-stock-market-apis-in-2019-ad91dddec984,3.5,Community blog,Website company Medium provides community blogs.
https://towardsdatascience.com/best-free-and-paid-stock-market-apis-for-2020-11adb98e7023,4,Community blog,Website company Medium provides community blogs.
https://towardsdatascience.com/big-data-integration-9a2fb2d78529,2.333333333,Community blog,Website company Medium provides community blogs.
https://towardsdatascience.com/creating-smart-knowledge-base-systems-kbs-using-advanced-nlp-library-b5c21dfafcd1,5,Community blog,Website company Medium provides community blogs.
https://towardsdatascience.com/effective-microservices-10-best-practices-c6e4ba0c6ee2,3,Community blog,Website company Medium provides community blogs.
https://towardsdatascience.com/how-to-build-a-chatbot-a-lesson-in-nlp-d0df588afa4b,5,Community blog,Website company Medium provides community blogs.
https://towardsdatascience.com/how-to-create-a-chatbot-with-python-deep-learning-in-less-than-an-hour-56a063bdfc44,2,Community blog,Website company Medium provides community blogs.
https://towardsdatascience.com/how-to-make-a-simple-chatbot-841b5efa2094,2,Community blog,Website company Medium provides community blogs.
https://towardsdatascience.com/intro-to-streaming-data-and-apache-kafka-5a797231258f,3.25,Community blog,Website company Medium provides community blogs.
https://walkingtreetech.medium.com/versioning-management-in-microservices-8221ec592499,4,Community blog,Website company Medium provides personal blogs.
https://whatis.techtarget.com/definition/streaming-data-architecture,3,Community blog,"""About us"" states ""WhatIs is a reference and self-education tool about information technology. The site provides readers with definitions for over 10,000 terms and over 1,000 fast references, cheat sheets and quizzes. """
https://whatis.techtarget.com/definition/synchronous-asynchronous-API,3,Community blog,Same as above
https://www.apmdigest.com/proactive-middleware-monitoring-how-it-keeps-business-humming,2,Community blog,"""About"" states ""APMdigest is a community blog that covers IT performance"""
https://www.betterevaluation.org/en/evaluation-options/mobile_data_collection,2,Community blog,"Multiple authors. Bottom of page states ""We are a global collaboration aimed at improving evaluation practice and theory through co-creation, curation, and sharing information."""
https://www.bigdata-insider.de/was-ist-stream-processing-a-863076/,2.333333333,Community blog,Multiple authors. German. 
https://www.cio.com/article/2390814/big-data-leading-to-new-breed-of-service-provider.html,2,Community blog,Multiple authors and topics. 
https://www.codementor.io/@goetas/modular-application-architecture-considerations-on-design-patterns-flmx1m731,4,Community blog,"Click on logo, page states ""Share insights, exchange ideas, and learn from fellow developers. Read the latest programming and coding tutorials. JOIN THE COMMUNITY"""
https://www.comparitech.com/net-admin/log-management-tools/,3,Community blog,"Mutiple authors and topics. ""About"" page states ""Comparitech is a pro-consumer website providing information, tools, reviews and comparisons"""
https://www.cxnetwork.com/cx-technology/articles/how-asynchronous-messaging-is-giving-power-back-to-the-customer,3,Community blog,Multiple authors and topics
https://www.datadriveninvestor.com/2019/02/25/6-alternatives-to-the-yahoo-finance-api/,3,Community blog,"Multiple authors and topics. Bottom of page states ""Data Driven Investor (DDI) is dedicated to uncovering how ordinary people can best utilize data to make those decisions."""
https://www.datamation.com/big-data/big-data-companies.html,4,Community blog,"Bottom of page states ""Datamation?s focus is on providing insight into the latest trends and innovation in AI"". multiple authors. "
https://www.dataversity.net/big-data-integration-101-the-what-why-and-how/,3,Community blog,"Mutliple authors. ""About us"" describes them as "" a producer of educational resources"". "
https://www.dataversity.net/what-is-data-streaming-a-data-architects-guide/,3,Community blog,Same as above
https://www.dev-insider.de/best-practices-zu-microservice-design-logik-und-apis-a-678125/,3,Community blog,Multiple authors. German. Multiple topics.
https://www.dev-insider.de/microservices-in-java-a-932857/,3,Community blog,Same as above
https://www.dev-insider.de/was-ist-json-a-702243/,2,Community blog,Same as above
https://www.eclipse.org/community/eclipse_newsletter/2018/november/jsonjakartaee.php,3.2,Community blog,"Click on logo, page states ""The Community for Open Innovation and Collaboration"". Click ""More"" in menu, then ""blogs"", shows mutiple authors."
https://www.heise.de/developer/artikel/Mark-Struberg-ueber-die-verbesserte-JSON-Verarbeitung-in-Java-EE-8-3799078.html,3,Community blog,"Multiple authors. ""The digital subscription for IT and technology."" "
https://www.heise.de/news/Streaming-Plattform-Apache-Kafka-2-6-verspricht-hoehere-Performance-4865673.html,2,Community blog,same as above.
https://www.infoq.com/articles/advanced-architecture-aspnet-core/,4,Community blog,Multiple authors. Multiple topics. 
https://www.infoq.com/articles/AMQP-RabbitMQ/,5,Community blog,Multiple authors. Multiple topics. 
https://www.infoq.com/articles/apache-kafka/,4.5,Community blog,Same as above.
https://www.infoq.com/articles/batch-etl-streams-kafka/,4,Community blog,same as above.
https://www.infoq.com/articles/eai-with-apache-camel/,3.75,Community blog,same as above.
https://www.infoq.com/articles/HIgh-Performance-Parsers-in-Java-V2/,3.695652174,Community blog,same as above.
https://www.infoq.com/articles/microservices-design-ideals/,3.5,Community blog,same as above.
https://www.infoq.com/articles/microservices-intro/,4.25,Community blog,same as above.
https://www.infoq.com/articles/modular-java-what-is-it/,4,Community blog,same as above.
https://www.infoq.com/articles/rest-introduction/,3,Community blog,same as above.
https://www.infoq.com/articles/stream-processing-hadoop/,3,Community blog,same as above.
https://www.infoq.com/articles/video-stream-analytics-opencv/,3,Community blog,same as above.
https://www.infoq.com/articles/web-api-design-methodology/,4,Community blog,same as above.
https://www.infoq.com/news/2014/06/hazelcastmq-v1-0-0/,1.666666667,Community blog,same as above.
https://www.infoq.com/news/2018/06/decomposing-system-microservices/,3.25,Community blog,same as above.
https://www.informatik-aktuell.de/entwicklung/programmiersprachen/apache-kafka-vs-enterprise-service-bus-esb-doch-nur-eine-hassliebe.html,4,Community blog,Multiple authors. Multiple topics. 
https://www.informatik-aktuell.de/entwicklung/programmiersprachen/microservices-mit-java-ee-alptraum-oder-dreamteam.html,3,Community blog,Same as above.
https://www.infoworld.com/article/2632681/service-oriented-architecture-getting-service-decomposition-right.html,3,Community blog,"Multiple authors. ""News, how-tos, features, reviews, and videos"""
https://www.infoworld.com/article/3307518/real-time-data-processing-with-data-streaming-new-tools-for-a-new-era.html,2,Community blog,Same as above
